Episode: 0, Score: 1.0, Avg reward: 1.00
Episode: 1, Score: 0.0, Avg reward: 0.50
Episode: 2, Score: 0.0, Avg reward: 0.33
Episode: 3, Score: -1.0, Avg reward: 0.00
Episode: 4, Score: 8.0, Avg reward: 1.60
Episode: 5, Score: -1.0, Avg reward: 1.17
Episode: 6, Score: 1.0, Avg reward: 1.14
Episode: 7, Score: 2.0, Avg reward: 1.25
Episode: 8, Score: 3.0, Avg reward: 1.44
Episode: 9, Score: 1.0, Avg reward: 1.40
Episode: 10, Score: 1.0, Avg reward: 1.36
Episode: 11, Score: 2.0, Avg reward: 1.42
Episode: 12, Score: 0.0, Avg reward: 1.31
Episode: 13, Score: 0.0, Avg reward: 1.21
Episode: 14, Score: 2.0, Avg reward: 1.27
Episode: 15, Score: -1.0, Avg reward: 1.12
Episode: 16, Score: 0.0, Avg reward: 1.06
Episode: 17, Score: 2.0, Avg reward: 1.11
Episode: 18, Score: 1.0, Avg reward: 1.11
Episode: 19, Score: 1.0, Avg reward: 1.10
Episode: 20, Score: -1.0, Avg reward: 1.00
Episode: 21, Score: 0.0, Avg reward: 0.95
Episode: 22, Score: 0.0, Avg reward: 0.91
Episode: 23, Score: 0.0, Avg reward: 0.88
Episode: 24, Score: -1.0, Avg reward: 0.80
Episode: 25, Score: 0.0, Avg reward: 0.77
Episode: 26, Score: 0.0, Avg reward: 0.74
Episode: 27, Score: 2.0, Avg reward: 0.79
Episode: 28, Score: 2.0, Avg reward: 0.83
Episode: 29, Score: -1.0, Avg reward: 0.77
Episode: 30, Score: 0.0, Avg reward: 0.74
Episode: 31, Score: -1.0, Avg reward: 0.69
Episode: 32, Score: 2.0, Avg reward: 0.73
Episode: 33, Score: 2.0, Avg reward: 0.76
Episode: 34, Score: -1.0, Avg reward: 0.71
Episode: 35, Score: 1.0, Avg reward: 0.72
Episode: 36, Score: 0.0, Avg reward: 0.70
Episode: 37, Score: 0.0, Avg reward: 0.68
Episode: 38, Score: 1.0, Avg reward: 0.69
Episode: 39, Score: -1.0, Avg reward: 0.65
Episode: 40, Score: 0.0, Avg reward: 0.63
Episode: 41, Score: 1.0, Avg reward: 0.64
Episode: 42, Score: 2.0, Avg reward: 0.67
Episode: 43, Score: 1.0, Avg reward: 0.68
Episode: 44, Score: -1.0, Avg reward: 0.64
Episode: 45, Score: -1.0, Avg reward: 0.61
Episode: 46, Score: 0.0, Avg reward: 0.60
Episode: 47, Score: 0.0, Avg reward: 0.58
Episode: 48, Score: -1.0, Avg reward: 0.55
Episode: 49, Score: -1.0, Avg reward: 0.52
Episode: 50, Score: -1.0, Avg reward: 0.49
Episode: 51, Score: 0.0, Avg reward: 0.48
Episode: 52, Score: 2.0, Avg reward: 0.51
Episode: 53, Score: 0.0, Avg reward: 0.50
Episode: 54, Score: -1.0, Avg reward: 0.47
Episode: 55, Score: -1.0, Avg reward: 0.45
Episode: 56, Score: 1.0, Avg reward: 0.46
Episode: 57, Score: 2.0, Avg reward: 0.48
Episode: 58, Score: 1.0, Avg reward: 0.49
Episode: 59, Score: 0.0, Avg reward: 0.48
Episode: 60, Score: 0.0, Avg reward: 0.48
Episode: 61, Score: 1.0, Avg reward: 0.48
Episode: 62, Score: 3.0, Avg reward: 0.52
Episode: 63, Score: -1.0, Avg reward: 0.50
Episode: 64, Score: 0.0, Avg reward: 0.49
Episode: 65, Score: -1.0, Avg reward: 0.47
Episode: 66, Score: 0.0, Avg reward: 0.46
Episode: 67, Score: 0.0, Avg reward: 0.46
Episode: 68, Score: 0.0, Avg reward: 0.45
Episode: 69, Score: 0.0, Avg reward: 0.44
Episode: 70, Score: 0.0, Avg reward: 0.44
Episode: 71, Score: 0.0, Avg reward: 0.43
Episode: 72, Score: 1.0, Avg reward: 0.44
Episode: 73, Score: 5.0, Avg reward: 0.50
Episode: 74, Score: 1.0, Avg reward: 0.51
Episode: 75, Score: -1.0, Avg reward: 0.49
Episode: 76, Score: 1.0, Avg reward: 0.49
Episode: 77, Score: 3.0, Avg reward: 0.53
Episode: 78, Score: 0.0, Avg reward: 0.52
Episode: 79, Score: 2.0, Avg reward: 0.54
Episode: 80, Score: 1.0, Avg reward: 0.54
Episode: 81, Score: 2.0, Avg reward: 0.56
Episode: 82, Score: 1.0, Avg reward: 0.57
Episode: 83, Score: 0.0, Avg reward: 0.56
Episode: 84, Score: 1.0, Avg reward: 0.56
Episode: 85, Score: 0.0, Avg reward: 0.56
Episode: 86, Score: 1.0, Avg reward: 0.56
Episode: 87, Score: 0.0, Avg reward: 0.56
Episode: 88, Score: 4.0, Avg reward: 0.60
Episode: 89, Score: 0.0, Avg reward: 0.59
Episode: 90, Score: 4.0, Avg reward: 0.63
Episode: 91, Score: 0.0, Avg reward: 0.62
Episode: 92, Score: -1.0, Avg reward: 0.60
Episode: 93, Score: 0.0, Avg reward: 0.60
Episode: 94, Score: 0.0, Avg reward: 0.59
Episode: 95, Score: 0.0, Avg reward: 0.58
Episode: 96, Score: 0.0, Avg reward: 0.58
Episode: 97, Score: 2.0, Avg reward: 0.59
Episode: 98, Score: 3.0, Avg reward: 0.62
Episode: 99, Score: 1.0, Avg reward: 0.62
Episode: 100, Score: 1.0, Avg reward: 0.62
Episode: 101, Score: 0.0, Avg reward: 0.62
Episode: 102, Score: 0.0, Avg reward: 0.62
Episode: 103, Score: 0.0, Avg reward: 0.63
Episode: 104, Score: 1.0, Avg reward: 0.56
Episode: 105, Score: 0.0, Avg reward: 0.57
Episode: 106, Score: 0.0, Avg reward: 0.56
Episode: 107, Score: 0.0, Avg reward: 0.54
Episode: 108, Score: 1.0, Avg reward: 0.52
Episode: 109, Score: -1.0, Avg reward: 0.50
Episode: 110, Score: 0.0, Avg reward: 0.49
Episode: 111, Score: -1.0, Avg reward: 0.46
Episode: 112, Score: 1.0, Avg reward: 0.47
Episode: 113, Score: 2.0, Avg reward: 0.49
Episode: 114, Score: -1.0, Avg reward: 0.46
Episode: 115, Score: 0.0, Avg reward: 0.47
Episode: 116, Score: 1.0, Avg reward: 0.48
Episode: 117, Score: 1.0, Avg reward: 0.47
Episode: 118, Score: -1.0, Avg reward: 0.45
Episode: 119, Score: 2.0, Avg reward: 0.46
Episode: 120, Score: 0.0, Avg reward: 0.47
Episode: 121, Score: 1.0, Avg reward: 0.48
Episode: 122, Score: 0.0, Avg reward: 0.48
Episode: 123, Score: 2.0, Avg reward: 0.50
Episode: 124, Score: 0.0, Avg reward: 0.51
Episode: 125, Score: 0.0, Avg reward: 0.51
Episode: 126, Score: -1.0, Avg reward: 0.50
Episode: 127, Score: 0.0, Avg reward: 0.48
Episode: 128, Score: -1.0, Avg reward: 0.45
Episode: 129, Score: 1.0, Avg reward: 0.47
Episode: 130, Score: 0.0, Avg reward: 0.47
Episode: 131, Score: 0.0, Avg reward: 0.48
Episode: 132, Score: 3.0, Avg reward: 0.49
Episode: 133, Score: 0.0, Avg reward: 0.47
Episode: 134, Score: 6.0, Avg reward: 0.54
Episode: 135, Score: 1.0, Avg reward: 0.54
Episode: 136, Score: 0.0, Avg reward: 0.54
Episode: 137, Score: 2.0, Avg reward: 0.56
Episode: 138, Score: 3.0, Avg reward: 0.58
Episode: 139, Score: 1.0, Avg reward: 0.60
Episode: 140, Score: -1.0, Avg reward: 0.59
Episode: 141, Score: 1.0, Avg reward: 0.59
Episode: 142, Score: 0.0, Avg reward: 0.57
Episode: 143, Score: 2.0, Avg reward: 0.58
Episode: 144, Score: 0.0, Avg reward: 0.59
Episode: 145, Score: 0.0, Avg reward: 0.60
Episode: 146, Score: 3.0, Avg reward: 0.63
Episode: 147, Score: 2.0, Avg reward: 0.65
Episode: 148, Score: 2.0, Avg reward: 0.68
Episode: 149, Score: -1.0, Avg reward: 0.68
Episode: 150, Score: 2.0, Avg reward: 0.71
Episode: 151, Score: 1.0, Avg reward: 0.72
Episode: 152, Score: 0.0, Avg reward: 0.70
Episode: 153, Score: 0.0, Avg reward: 0.70
Episode: 154, Score: 4.0, Avg reward: 0.75
Episode: 155, Score: 0.0, Avg reward: 0.76
Episode: 156, Score: 1.0, Avg reward: 0.76
Episode: 157, Score: 0.0, Avg reward: 0.74
Episode: 158, Score: 0.0, Avg reward: 0.73
Episode: 159, Score: 0.0, Avg reward: 0.73
Episode: 160, Score: 1.0, Avg reward: 0.74
Episode: 161, Score: 1.0, Avg reward: 0.74
Episode: 162, Score: -1.0, Avg reward: 0.70
Episode: 163, Score: 2.0, Avg reward: 0.73
Episode: 164, Score: -1.0, Avg reward: 0.72
Episode: 165, Score: 0.0, Avg reward: 0.73
Episode: 166, Score: 1.0, Avg reward: 0.74
Episode: 167, Score: 0.0, Avg reward: 0.74
Episode: 168, Score: -1.0, Avg reward: 0.73
Episode: 169, Score: 16.0, Avg reward: 0.89
Episode: 170, Score: 1.0, Avg reward: 0.90
Episode: 171, Score: 2.0, Avg reward: 0.92
Episode: 172, Score: 1.0, Avg reward: 0.92
Episode: 173, Score: 0.0, Avg reward: 0.87
Episode: 174, Score: 0.0, Avg reward: 0.86
Episode: 175, Score: 5.0, Avg reward: 0.92
Episode: 176, Score: 0.0, Avg reward: 0.91
Episode: 177, Score: 0.0, Avg reward: 0.88
Episode: 178, Score: 1.0, Avg reward: 0.89
Episode: 179, Score: 2.0, Avg reward: 0.89
Episode: 180, Score: 0.0, Avg reward: 0.88
Episode: 181, Score: 1.0, Avg reward: 0.87
Episode: 182, Score: 2.0, Avg reward: 0.88
Episode: 183, Score: 0.0, Avg reward: 0.88
Episode: 184, Score: 0.0, Avg reward: 0.87
Episode: 185, Score: 16.0, Avg reward: 1.03
Episode: 186, Score: -1.0, Avg reward: 1.01
Episode: 187, Score: 2.0, Avg reward: 1.03
Episode: 188, Score: 5.0, Avg reward: 1.04
Episode: 189, Score: 0.0, Avg reward: 1.04
Episode: 190, Score: 2.0, Avg reward: 1.02
Episode: 191, Score: 1.0, Avg reward: 1.03
Episode: 192, Score: 0.0, Avg reward: 1.04
Episode: 193, Score: 2.0, Avg reward: 1.06
