Episode: 123, Score: -46.0, Avg reward: -43.66
Episode: 124, Score: -46.0, Avg reward: -43.66
Episode: 125, Score: -48.0, Avg reward: -43.68
Episode: 126, Score: -46.0, Avg reward: -43.72
Episode: 127, Score: -48.0, Avg reward: -43.78
Episode: 128, Score: -40.0, Avg reward: -43.76
Episode: 129, Score: -46.0, Avg reward: -43.76
Episode: 130, Score: -46.0, Avg reward: -43.74
Episode: 131, Score: -46.0, Avg reward: -43.72
Episode: 132, Score: -46.0, Avg reward: -43.76
Episode: 133, Score: -42.0, Avg reward: -43.70
Episode: 134, Score: -44.0, Avg reward: -43.70
Episode: 135, Score: -46.0, Avg reward: -43.70
Episode: 136, Score: -40.0, Avg reward: -43.70
Episode: 137, Score: -46.0, Avg reward: -43.72
Episode: 138, Score: -48.0, Avg reward: -43.72
Episode: 139, Score: -48.0, Avg reward: -43.74
Episode: 140, Score: -44.0, Avg reward: -43.74
Episode: 141, Score: -46.0, Avg reward: -43.74
Episode: 142, Score: -46.0, Avg reward: -43.78
Episode: 143, Score: -46.0, Avg reward: -43.78
Episode: 144, Score: -46.0, Avg reward: -43.80
Episode: 145, Score: -40.0, Avg reward: -43.74
Episode: 146, Score: -44.0, Avg reward: -43.72
Episode: 147, Score: -42.0, Avg reward: -43.66
Episode: 148, Score: -46.0, Avg reward: -43.68
Episode: 149, Score: -48.0, Avg reward: -43.68
Episode: 150, Score: -46.0, Avg reward: -43.82
Episode: 151, Score: -46.0, Avg reward: -43.82
Episode: 152, Score: -46.0, Avg reward: -43.82
Episode: 153, Score: -46.0, Avg reward: -43.80
Episode: 154, Score: -46.0, Avg reward: -43.80
Episode: 155, Score: -44.0, Avg reward: -43.80
Episode: 156, Score: -46.0, Avg reward: -43.82
Episode: 157, Score: -46.0, Avg reward: -43.82
Episode: 158, Score: -48.0, Avg reward: -43.86
Episode: 159, Score: -46.0, Avg reward: -43.86
Episode: 160, Score: -44.0, Avg reward: -43.84
Episode: 161, Score: -48.0, Avg reward: -44.34
Episode: 162, Score: -46.0, Avg reward: -44.38
Episode: 163, Score: -48.0, Avg reward: -44.42
Episode: 164, Score: -44.0, Avg reward: -44.38
Episode: 165, Score: -42.0, Avg reward: -44.34
Episode: 166, Score: -48.0, Avg reward: -44.40
Episode: 167, Score: -44.0, Avg reward: -44.38
Episode: 168, Score: -28.0, Avg reward: -44.22
Episode: 169, Score: -42.0, Avg reward: -44.30
Episode: 170, Score: -42.0, Avg reward: -44.24
Episode: 171, Score: -38.0, Avg reward: -44.20
Episode: 172, Score: -46.0, Avg reward: -44.20
Episode: 173, Score: -46.0, Avg reward: -44.24
Episode: 174, Score: -44.0, Avg reward: -44.24
Episode: 175, Score: -42.0, Avg reward: -44.20
Episode: 176, Score: -44.0, Avg reward: -44.46
Episode: 177, Score: -46.0, Avg reward: -44.46
Episode: 178, Score: -40.0, Avg reward: -44.42
Episode: 179, Score: -46.0, Avg reward: -44.44
Episode: 180, Score: -34.0, Avg reward: -44.34
Episode: 181, Score: -46.0, Avg reward: -44.34
Episode: 182, Score: -46.0, Avg reward: -44.32
Episode: 183, Score: -46.0, Avg reward: -44.36
Episode: 184, Score: -10.0, Avg reward: -44.00
Episode: 185, Score: -48.0, Avg reward: -44.10
Episode: 186, Score: -46.0, Avg reward: -44.14
Episode: 187, Score: -42.0, Avg reward: -44.14
Episode: 188, Score: -46.0, Avg reward: -44.14
Episode: 189, Score: -46.0, Avg reward: -44.48
Episode: 190, Score: -44.0, Avg reward: -44.46
Episode: 191, Score: -46.0, Avg reward: -44.44
Episode: 192, Score: -42.0, Avg reward: -44.40
Episode: 193, Score: -16.0, Avg reward: -44.16
Episode: 194, Score: -44.0, Avg reward: -44.18
Episode: 195, Score: -46.0, Avg reward: -44.18
Episode: 196, Score: -48.0, Avg reward: -44.22
Episode: 197, Score: -44.0, Avg reward: -44.26
Episode: 198, Score: -44.0, Avg reward: -44.24
Episode: 199, Score: -46.0, Avg reward: -44.28
Episode: 200, Score: -44.0, Avg reward: -44.26
Episode: 201, Score: -48.0, Avg reward: -44.30
Episode: 202, Score: -48.0, Avg reward: -44.32
Episode: 203, Score: -40.0, Avg reward: -44.28
Episode: 204, Score: -46.0, Avg reward: -44.28
Episode: 205, Score: -46.0, Avg reward: -44.28
Episode: 206, Score: -46.0, Avg reward: -44.28
Episode: 207, Score: -46.0, Avg reward: -44.30
Episode: 208, Score: -46.0, Avg reward: -44.34
Episode: 209, Score: -44.0, Avg reward: -44.32
Episode: 210, Score: -46.0, Avg reward: -44.30
Episode: 211, Score: -46.0, Avg reward: -44.32
Episode: 212, Score: -44.0, Avg reward: -44.30
Episode: 213, Score: -46.0, Avg reward: -44.28
Episode: 214, Score: -46.0, Avg reward: -44.30
Episode: 215, Score: -46.0, Avg reward: -44.32
Episode: 216, Score: -46.0, Avg reward: -44.30
Episode: 217, Score: -46.0, Avg reward: -44.30
Episode: 218, Score: -46.0, Avg reward: -44.30
Episode: 219, Score: -48.0, Avg reward: -44.32
Episode: 220, Score: -46.0, Avg reward: -44.30
Episode: 221, Score: -46.0, Avg reward: -44.30
Episode: 222, Score: -46.0, Avg reward: -44.30
Episode: 223, Score: -46.0, Avg reward: -44.30
Episode: 224, Score: -46.0, Avg reward: -44.30
Episode: 225, Score: -46.0, Avg reward: -44.28
Episode: 226, Score: -44.0, Avg reward: -44.26
Episode: 227, Score: -42.0, Avg reward: -44.20
Episode: 228, Score: -46.0, Avg reward: -44.26
Episode: 229, Score: -46.0, Avg reward: -44.26
Episode: 230, Score: -30.0, Avg reward: -44.10
Episode: 231, Score: -46.0, Avg reward: -44.10
Episode: 232, Score: -44.0, Avg reward: -44.08
Episode: 233, Score: -46.0, Avg reward: -44.12
Episode: 234, Score: -48.0, Avg reward: -44.16
Episode: 235, Score: -42.0, Avg reward: -44.12
Episode: 236, Score: -44.0, Avg reward: -44.16
Episode: 237, Score: -30.0, Avg reward: -44.00
Episode: 238, Score: -42.0, Avg reward: -43.94
Episode: 239, Score: -40.0, Avg reward: -43.86
Episode: 240, Score: -48.0, Avg reward: -43.90
Episode: 241, Score: -48.0, Avg reward: -43.92
Episode: 242, Score: -48.0, Avg reward: -43.94
Episode: 243, Score: -44.0, Avg reward: -43.92
Episode: 244, Score: -46.0, Avg reward: -43.92
Episode: 245, Score: -44.0, Avg reward: -43.96
Episode: 246, Score: -46.0, Avg reward: -43.98
Episode: 247, Score: -36.0, Avg reward: -43.92
Episode: 248, Score: -42.0, Avg reward: -43.88
Episode: 249, Score: -46.0, Avg reward: -43.86
Episode: 250, Score: -42.0, Avg reward: -43.82
Episode: 251, Score: -44.0, Avg reward: -43.80
Episode: 252, Score: -48.0, Avg reward: -43.82
Episode: 253, Score: -44.0, Avg reward: -43.80
Episode: 254, Score: -44.0, Avg reward: -43.78
Episode: 255, Score: -42.0, Avg reward: -43.76
Episode: 256, Score: -36.0, Avg reward: -43.66
Episode: 257, Score: 2.0, Avg reward: -43.18
Episode: 258, Score: -46.0, Avg reward: -43.16
Episode: 259, Score: -46.0, Avg reward: -43.16
Episode: 260, Score: -48.0, Avg reward: -43.20
Episode: 261, Score: -40.0, Avg reward: -43.12
Episode: 262, Score: -48.0, Avg reward: -43.14
Episode: 263, Score: -42.0, Avg reward: -43.08
Episode: 264, Score: -44.0, Avg reward: -43.08
Episode: 265, Score: -42.0, Avg reward: -43.08
Episode: 266, Score: -48.0, Avg reward: -43.08
Episode: 267, Score: -44.0, Avg reward: -43.08
Episode: 268, Score: -30.0, Avg reward: -43.10
Episode: 269, Score: -44.0, Avg reward: -43.12
Episode: 270, Score: -46.0, Avg reward: -43.16
Episode: 271, Score: -44.0, Avg reward: -43.22
Episode: 272, Score: -42.0, Avg reward: -43.18
Episode: 273, Score: -46.0, Avg reward: -43.18
Episode: 274, Score: -48.0, Avg reward: -43.22
Episode: 275, Score: -46.0, Avg reward: -43.26
Episode: 276, Score: -42.0, Avg reward: -43.24
Episode: 277, Score: -38.0, Avg reward: -43.16
Episode: 278, Score: -44.0, Avg reward: -43.20
Episode: 279, Score: -38.0, Avg reward: -43.12
Episode: 280, Score: -44.0, Avg reward: -43.22
Episode: 281, Score: -44.0, Avg reward: -43.20
Episode: 282, Score: -46.0, Avg reward: -43.20
Episode: 283, Score: -48.0, Avg reward: -43.22
Episode: 284, Score: -46.0, Avg reward: -43.58
Episode: 285, Score: -46.0, Avg reward: -43.56
Episode: 286, Score: -42.0, Avg reward: -43.52
Episode: 287, Score: -46.0, Avg reward: -43.56
Episode: 288, Score: -46.0, Avg reward: -43.56
Episode: 289, Score: -40.0, Avg reward: -43.50
Episode: 290, Score: -46.0, Avg reward: -43.52
Episode: 291, Score: -48.0, Avg reward: -43.54
Episode: 292, Score: -42.0, Avg reward: -43.54
Episode: 293, Score: -48.0, Avg reward: -43.86
Episode: 294, Score: -46.0, Avg reward: -43.88
Episode: 295, Score: -44.0, Avg reward: -43.86
Episode: 296, Score: -18.0, Avg reward: -43.56
Episode: 297, Score: -28.0, Avg reward: -43.40
Episode: 298, Score: -44.0, Avg reward: -43.40
Episode: 299, Score: -46.0, Avg reward: -43.40
Episode: 300, Score: -46.0, Avg reward: -43.42
Episode: 301, Score: -38.0, Avg reward: -43.32
Episode: 302, Score: -44.0, Avg reward: -43.28
Episode: 303, Score: -42.0, Avg reward: -43.30
Episode: 304, Score: -38.0, Avg reward: -43.22
Episode: 305, Score: -46.0, Avg reward: -43.22
Episode: 306, Score: -46.0, Avg reward: -43.22
Episode: 307, Score: -44.0, Avg reward: -43.20
Episode: 308, Score: -46.0, Avg reward: -43.20
Episode: 309, Score: -48.0, Avg reward: -43.24
Episode: 310, Score: -32.0, Avg reward: -43.10
Episode: 311, Score: -46.0, Avg reward: -43.10
Episode: 312, Score: -40.0, Avg reward: -43.06
Episode: 313, Score: -44.0, Avg reward: -43.04
Episode: 314, Score: -42.0, Avg reward: -43.00
Episode: 315, Score: -46.0, Avg reward: -43.00
Episode: 316, Score: -44.0, Avg reward: -42.98
Episode: 317, Score: -42.0, Avg reward: -42.94
Episode: 318, Score: -44.0, Avg reward: -42.92
Episode: 319, Score: -46.0, Avg reward: -42.90
Episode: 320, Score: -46.0, Avg reward: -42.90
Episode: 321, Score: -36.0, Avg reward: -42.80
Episode: 322, Score: -46.0, Avg reward: -42.80
Episode: 323, Score: -46.0, Avg reward: -42.80
Episode: 324, Score: -48.0, Avg reward: -42.82
Episode: 325, Score: -46.0, Avg reward: -42.82
Episode: 326, Score: -46.0, Avg reward: -42.84
Episode: 327, Score: -44.0, Avg reward: -42.86
Episode: 328, Score: -48.0, Avg reward: -42.88
Episode: 329, Score: -42.0, Avg reward: -42.84
Episode: 330, Score: -46.0, Avg reward: -43.00
Episode: 331, Score: -38.0, Avg reward: -42.92
Episode: 332, Score: -46.0, Avg reward: -42.94
Episode: 333, Score: -48.0, Avg reward: -42.96
Episode: 334, Score: -46.0, Avg reward: -42.94
Episode: 335, Score: -48.0, Avg reward: -43.00
Episode: 336, Score: -44.0, Avg reward: -43.00
Episode: 337, Score: -46.0, Avg reward: -43.16
Episode: 338, Score: -38.0, Avg reward: -43.12
Episode: 339, Score: -42.0, Avg reward: -43.14
Episode: 340, Score: -48.0, Avg reward: -43.14
Episode: 341, Score: -46.0, Avg reward: -43.12
Episode: 342, Score: -46.0, Avg reward: -43.10
Episode: 343, Score: -36.0, Avg reward: -43.02
Episode: 344, Score: -42.0, Avg reward: -42.98
Episode: 345, Score: -46.0, Avg reward: -43.00
Episode: 346, Score: -34.0, Avg reward: -42.88
Episode: 347, Score: -44.0, Avg reward: -42.96
Episode: 348, Score: -36.0, Avg reward: -42.90
Episode: 349, Score: -44.0, Avg reward: -42.88
Episode: 350, Score: -46.0, Avg reward: -42.92
Episode: 351, Score: -46.0, Avg reward: -42.94
Episode: 352, Score: -44.0, Avg reward: -42.90
Episode: 353, Score: -44.0, Avg reward: -42.90
Episode: 354, Score: -48.0, Avg reward: -42.94
Episode: 355, Score: -36.0, Avg reward: -42.88
Episode: 356, Score: -44.0, Avg reward: -42.96
Episode: 357, Score: -46.0, Avg reward: -43.44
Episode: 358, Score: -44.0, Avg reward: -43.42
Episode: 359, Score: -42.0, Avg reward: -43.38
Episode: 360, Score: 4.0, Avg reward: -42.86
Episode: 361, Score: -44.0, Avg reward: -42.90
Episode: 362, Score: -44.0, Avg reward: -42.86
Episode: 363, Score: -44.0, Avg reward: -42.88
Episode: 364, Score: -46.0, Avg reward: -42.90
Episode: 365, Score: -46.0, Avg reward: -42.94
Episode: 366, Score: -46.0, Avg reward: -42.92
Episode: 367, Score: -44.0, Avg reward: -42.92
Episode: 368, Score: -34.0, Avg reward: -42.96
Episode: 369, Score: -46.0, Avg reward: -42.98
Episode: 370, Score: -36.0, Avg reward: -42.88
Episode: 371, Score: -46.0, Avg reward: -42.90
Episode: 372, Score: -46.0, Avg reward: -42.94
Episode: 373, Score: -42.0, Avg reward: -42.90
Episode: 374, Score: -44.0, Avg reward: -42.86
Episode: 375, Score: -44.0, Avg reward: -42.84
Episode: 376, Score: 6.0, Avg reward: -42.36
Episode: 377, Score: -44.0, Avg reward: -42.42
Episode: 378, Score: -44.0, Avg reward: -42.42
Episode: 379, Score: -24.0, Avg reward: -42.28
Episode: 380, Score: -42.0, Avg reward: -42.26
Episode: 381, Score: -40.0, Avg reward: -42.22
Episode: 382, Score: -44.0, Avg reward: -42.20
Episode: 383, Score: -44.0, Avg reward: -42.16
Episode: 384, Score: -46.0, Avg reward: -42.16
Episode: 385, Score: -42.0, Avg reward: -42.12
Episode: 386, Score: -44.0, Avg reward: -42.14
Episode: 387, Score: -46.0, Avg reward: -42.14
Episode: 388, Score: -40.0, Avg reward: -42.08
Episode: 389, Score: -44.0, Avg reward: -42.12
Episode: 390, Score: -46.0, Avg reward: -42.12
Episode: 391, Score: -32.0, Avg reward: -41.96
Episode: 392, Score: -44.0, Avg reward: -41.98
Episode: 393, Score: -28.0, Avg reward: -41.78
Episode: 394, Score: -42.0, Avg reward: -41.74
Episode: 395, Score: -44.0, Avg reward: -41.74
